family_key,priority,packet_status,remaining_blocker_codes,baseline_requirements,residual_definition,liquidity_evidence_requirement,next_empirical_action,final_judgment_status
customer_contract_win_loss,normal,packet_spec_completed_pending_empirical_evidence,needs_materiality_rules;empirical_association_study_required,News candidate must be decomposed into this mechanism family with source quality and materiality review.;Controls must match sector/market/target state and exclude overlapping canonical events.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Define customer/contract packet with size, duration, counterparty, and recurring/nonrecurring evidence.",final_judgment_withheld_until_empirical_association_complete
management_change,normal,packet_spec_completed_pending_empirical_evidence,needs_departure_reason_taxonomy;empirical_association_study_required,News candidate must be decomposed into this mechanism family with source quality and materiality review.;Controls must match sector/market/target state and exclude overlapping canonical events.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Split planned succession, resignation, termination, death/health, and activist-driven changes.",final_judgment_withheld_until_empirical_association_complete
analyst_rating_or_price_target_change,normal,packet_spec_completed_pending_empirical_evidence,needs_source_identity_and_reiteration_rules;empirical_association_study_required,News candidate must be decomposed into this mechanism family with source quality and materiality review.;Controls must match sector/market/target state and exclude overlapping canonical events.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Create analyst-action packet and separate initiation, upgrade/downgrade, target-only, reiteration, and consensus context.",final_judgment_withheld_until_empirical_association_complete
supply_chain_disruption,normal,packet_spec_completed_pending_empirical_evidence,needs_scope_routing_rules;empirical_association_study_required,News candidate must be decomposed into this mechanism family with source quality and materiality review.;Controls must match sector/market/target state and exclude overlapping canonical events.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,Create packet with direct-vs-readthrough scope and duration/materiality rules.,final_judgment_withheld_until_empirical_association_complete
sector_regulation_policy,high,packet_spec_completed_pending_empirical_evidence,needs_sector_scope_mapping;empirical_association_study_required,News candidate must be decomposed into this mechanism family with source quality and materiality review.;Controls must match sector/market/target state and exclude overlapping canonical events.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,Create sector-regulation packet with affected industry mapping and official-vs-news source precedence.,final_judgment_withheld_until_empirical_association_complete
commodity_or_input_cost_shock,normal,packet_spec_completed_pending_empirical_evidence,needs_exposure_mapping;empirical_association_study_required,News candidate must be decomposed into this mechanism family with source quality and materiality review.;Controls must match sector/market/target state and exclude overlapping canonical events.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Define commodity exposure map and split producer, consumer, and intermediary effects.",final_judgment_withheld_until_empirical_association_complete
sector_demand_shock,normal,packet_spec_completed_pending_empirical_evidence,needs_readthrough_rules;empirical_association_study_required,News candidate must be decomposed into this mechanism family with source quality and materiality review.;Controls must match sector/market/target state and exclude overlapping canonical events.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,Create packet and separate direct company event from true sector read-through.,final_judgment_withheld_until_empirical_association_complete
cpi_inflation_release,high,packet_spec_completed_current_risk_only_evidence,needs_pit_consensus_surprise;directional_alpha_not_proven;canonical_te_expectation_history_needed;empirical_association_study_required;fuller_te_expectation_history_required,"PIT consensus/forecast is required for surprise; TE actual-consensus is canonical when populated, TE actual-te_forecast is fallback.;Realized CPI/FRED/BLS values alone are insufficient for abnormal-surprise classification.;Controls must include market regime, rates-sensitive sector context, and matched non-release dates.",No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Complete fuller TE expectation-history route, then rerun CPI surprise association with canonical TE rows.",final_judgment_withheld_until_empirical_association_complete
fomc_rates_policy,high,packet_spec_completed_pending_empirical_evidence,needs_official_calendar_and_statement_route;empirical_association_study_required,"Market-implied expected policy path before announcement is required for surprise/residual classification.;Scheduled decision, statement, minutes, dots, and press conference must be separate subevents/clocks.",No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Create FOMC/rates packet with scheduled shell, decision, statement, press-conference, and market-implied repricing split.",final_judgment_withheld_until_empirical_association_complete
nfp_employment_release,normal,packet_spec_completed_pending_empirical_evidence,needs_pit_consensus_surprise;empirical_association_study_required;pit_expectation_or_comparable_baseline_required,PIT payroll/unemployment/wage consensus and revision fields are required.;Official release time and revision treatment must be frozen before labels are generated.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Build or acquire PIT expectation/comparable baseline, then run family-specific association study.",final_judgment_withheld_until_empirical_association_complete
treasury_yield_curve_shock,normal,packet_spec_completed_pending_empirical_evidence,needs_rates_state_residual_definition;empirical_association_study_required;residual_over_base_state_required,"Base rates/curve state must be computed before residual shock labels.;Shock is the unexplained move over accepted Layer 1/2 rates/market context, not raw yield movement alone.",Required before study: residual rates shock = yield/curve movement unexplained by accepted base rates/market-state context.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,Implement residual-over-base-state detector and controls before event labels are accepted.,final_judgment_withheld_until_empirical_association_complete
credit_liquidity_stress,high,packet_spec_completed_pending_empirical_evidence,needs_stress_severity_ladder;empirical_association_study_required,Mechanism-specific matched controls and source-quality/materiality baselines are required before association claims.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Create stress packet with bank/credit/liquidity subtypes, severity, contagion scope, and review triggers.",final_judgment_withheld_until_empirical_association_complete
geopolitical_or_fiscal_shock,normal,packet_spec_completed_pending_empirical_evidence,needs_unknown_event_standard_review;empirical_association_study_required,Mechanism-specific matched controls and source-quality/materiality baselines are required before association claims.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,Use unknown-event protocol to define reusable subfamilies before association study.,final_judgment_withheld_until_empirical_association_complete
price_action_pattern,normal,packet_spec_completed_pending_empirical_evidence,needs_residual_over_base_state;empirical_association_study_required;residual_over_base_state_required,"Residual or abnormality score must be computed before event assignment.;Controls must match pre-event volatility, liquidity, trend, market, sector, and target-state context.","Required before study: residual = observed price/market-structure behavior minus expected behavior from accepted Layer 1 market context, Layer 2 sector context, Layer 3 target state, pre-event volatility/trend, and liquidity controls.",Use liquidity/spread/depth controls to prevent abnormal-activity labels from being ordinary illiquidity artifacts.,Implement residual-over-base-state detector and controls before event labels are accepted.,final_judgment_withheld_until_empirical_association_complete
residual_market_structure_disturbance,normal,packet_spec_completed_pending_empirical_evidence,needs_residual_over_base_state;matched_controls_required;empirical_association_study_required;residual_over_base_state_required,"Residual or abnormality score must be computed before event assignment.;Controls must match pre-event volatility, liquidity, trend, market, sector, and target-state context.","Required before study: residual = observed price/market-structure behavior minus expected behavior from accepted Layer 1 market context, Layer 2 sector context, Layer 3 target state, pre-event volatility/trend, and liquidity controls.",Use liquidity/spread/depth controls to prevent abnormal-activity labels from being ordinary illiquidity artifacts.,Implement residual-over-base-state detector and controls before event labels are accepted.,final_judgment_withheld_until_empirical_association_complete
microstructure_liquidity_disruption,normal,packet_spec_completed_pending_empirical_evidence,needs_liquidity_depth_evidence;needs_execution_risk_labels;empirical_association_study_required;liquidity_depth_evidence_required,"Residual or abnormality score must be computed before event assignment.;Controls must match pre-event volatility, liquidity, trend, market, sector, and target-state context.",No special residual definition beyond matched controls unless empirical review finds base-state leakage.,"Required before study: bid/ask spread, quote depth, trade imbalance, halt/limit-state, slippage proxy, and execution-quality labels. Directional return labels are secondary to execution-risk/path-risk labels.",Build liquidity/depth/execution-risk evidence route before price association.,final_judgment_withheld_until_empirical_association_complete
option_derivatives_abnormality,high,packet_spec_completed_deferred_low_signal_current_definition,matched_controls_failed;non_earnings_option_standard_saturated;needs_revised_abnormality_definition;empirical_association_study_required;revised_abnormality_definition_required,"Residual or abnormality score must be computed before event assignment.;Controls must match pre-event volatility, liquidity, trend, market, sector, and target-state context.",Existing residual/abnormality definition failed current matched controls; revise abnormality standard before retesting.,Use liquidity/spread/depth controls to prevent abnormal-activity labels from being ordinary illiquidity artifacts.,Revise abnormality definition before spending more empirical-study cycles.,final_alpha_judgment_withheld_current_definition_low_signal
