family_key,routing_bucket,mechanism_group,priority,coverage_status,association_readiness_status,local_candidate_count,local_source_row_count,local_source_routes,existing_empirical_artifacts,existing_empirical_artifact_count,remaining_blocker_codes,next_action,final_conclusion_status
bankruptcy_or_restructuring,sec_filing,distress,high,no_local_candidate_events_found_under_current_sources,not_ready_expand_source_or_parser_first,0,24764,sec_company_financials,,0,needs_distress_stage_lifecycle;empirical_association_study_required,Add or backfill the accepted source/parser route for this family before association measurement.,withheld_not_final_association_judgment
product_launch_or_failure,symbol_news,product_customer,normal,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,35,1155,alpaca_news;gdelt_news,,0,needs_news_interpretation_standard;empirical_association_study_required,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels.",withheld_not_final_association_judgment
customer_contract_win_loss,symbol_news,product_customer,normal,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,48,1155,alpaca_news;gdelt_news,,0,needs_materiality_rules;empirical_association_study_required,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels.",withheld_not_final_association_judgment
management_change,symbol_news,governance_management,normal,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,83,1155,alpaca_news;gdelt_news,,0,needs_departure_reason_taxonomy;empirical_association_study_required,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels.",withheld_not_final_association_judgment
analyst_rating_or_price_target_change,symbol_news,market_opinion,normal,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,37,1155,alpaca_news;gdelt_news,,0,needs_source_identity_and_reiteration_rules;empirical_association_study_required,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels.",withheld_not_final_association_judgment
supply_chain_disruption,symbol_news,operations_supply_chain,normal,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,34,1155,alpaca_news;gdelt_news,,0,needs_scope_routing_rules;empirical_association_study_required,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels.",withheld_not_final_association_judgment
sector_regulation_policy,sector_news,sector_policy,high,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,304,1155,alpaca_news;gdelt_news,,0,needs_sector_scope_mapping;empirical_association_study_required,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels.",withheld_not_final_association_judgment
commodity_or_input_cost_shock,sector_news,sector_supply_demand,normal,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,20,1155,alpaca_news;gdelt_news,,0,needs_exposure_mapping;empirical_association_study_required,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels.",withheld_not_final_association_judgment
sector_demand_shock,sector_news,sector_supply_demand,normal,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,32,1155,alpaca_news;gdelt_news,,0,needs_readthrough_rules;empirical_association_study_required,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels.",withheld_not_final_association_judgment
cpi_inflation_release,macro_data,macro_release,high,existing_empirical_studies_risk_only_needs_canonical_history,partial_ready_risk_only_after_fuller_te_history,4,12,trading_economics_calendar_web,storage/cpi_release_correlation_study_20260516/strict_summary.json;storage/cpi_abnormal_release_correlation_study_20260516/abnormal_cpi_release_summary.json;storage/cpi_surprise_correlation_study_20260516/cpi_surprise_summary.json;storage/te_cpi_surprise_correlation_study_20260516/te_cpi_surprise_summary.json,4,needs_pit_consensus_surprise;directional_alpha_not_proven;canonical_te_expectation_history_needed;empirical_association_study_required;fuller_te_expectation_history_required,Complete fuller TE expectation-history route and rerun CPI surprise association using canonical rows.,withheld_not_final_association_judgment
fomc_rates_policy,macro_news,macro_policy,high,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,43,1167,alpaca_news;gdelt_news;trading_economics_calendar_web,,0,needs_official_calendar_and_statement_route;empirical_association_study_required,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels.",withheld_not_final_association_judgment
nfp_employment_release,macro_data,macro_release,normal,blocked_missing_pit_expectation_or_comparable_baseline,not_ready_build_pit_baseline_first,2,12,trading_economics_calendar_web,,0,needs_pit_consensus_surprise;empirical_association_study_required;pit_expectation_or_comparable_baseline_required,Persist PIT expectation/comparable baseline artifacts before empirical association.,withheld_not_final_association_judgment
treasury_yield_curve_shock,macro_news,macro_rates_liquidity,normal,blocked_missing_residual_detector,not_ready_build_residual_detector_first,10,1167,alpaca_news;gdelt_news;trading_economics_calendar_web,,0,needs_rates_state_residual_definition;empirical_association_study_required;residual_over_base_state_required,Implement residual-over-base-state detector before event labels are accepted.,withheld_not_final_association_judgment
credit_liquidity_stress,macro_news,macro_rates_liquidity,high,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,12,1167,alpaca_news;gdelt_news;trading_economics_calendar_web,,0,needs_stress_severity_ladder;empirical_association_study_required,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels.",withheld_not_final_association_judgment
geopolitical_or_fiscal_shock,macro_news,macro_policy,normal,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,87,1167,alpaca_news;gdelt_news;trading_economics_calendar_web,,0,needs_unknown_event_standard_review;empirical_association_study_required,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels.",withheld_not_final_association_judgment
price_action_pattern,price_action,abnormal_activity,normal,blocked_missing_residual_detector,not_ready_build_residual_detector_first,0,6045,local_price_bars;option_activity_artifacts,,0,needs_residual_over_base_state;empirical_association_study_required;residual_over_base_state_required,Implement residual-over-base-state detector before event labels are accepted.,withheld_not_final_association_judgment
residual_market_structure_disturbance,equity_abnormal_activity,abnormal_activity,normal,blocked_missing_residual_detector,not_ready_build_residual_detector_first,0,6045,local_price_bars;option_activity_artifacts,,0,needs_residual_over_base_state;matched_controls_required;empirical_association_study_required;residual_over_base_state_required,Implement residual-over-base-state detector before event labels are accepted.,withheld_not_final_association_judgment
microstructure_liquidity_disruption,equity_abnormal_activity,abnormal_activity,normal,blocked_missing_liquidity_depth_evidence,not_ready_build_liquidity_depth_route_first,0,6045,local_price_bars;option_activity_artifacts,,0,needs_liquidity_depth_evidence;needs_execution_risk_labels;empirical_association_study_required;liquidity_depth_evidence_required,Build liquidity/depth/execution-risk evidence before directional price labels.,withheld_not_final_association_judgment
option_derivatives_abnormality,option_abnormal_activity,abnormal_activity,high,existing_empirical_studies_deferred_low_signal,not_ready_revise_abnormality_definition_before_retest,3,6045,local_price_bars;option_activity_artifacts,storage/option_activity_matched_control_study_20260515/report.json;storage/option_activity_strict_filter_study_20260515/report.json;storage/option_event_risk_amplifier_study_20260515/report.json,3,matched_controls_failed;non_earnings_option_standard_saturated;needs_revised_abnormality_definition;empirical_association_study_required;revised_abnormality_definition_required,Revise abnormality definition before retesting matched controls.,withheld_not_final_association_judgment
